"","ZIPCODE","POPULATION","AREA","COUNTY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","density"
"160","11103",38234,20222394.6255259,"Queens",NA,NA,NA,NA,NA,NA,NA,266,306.583333333333,343.5,413.083333333333,405.5,414,410.666666666667,417,400.166666666667,399,414.583333333333,477.75,511.5,592.75,699.6,18.91
"163","11106",38665,23866112.7254688,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2
"219","11368",109069,72489663.284463,"Queens",NA,NA,NA,NA,NA,NA,NA,268.5,305,310.5,369.416666666667,388.916666666667,391.416666666667,369.166666666667,380.416666666667,369.083333333333,358,368.5,418.916666666667,457.333333333333,513,566.4,15.05
"228","11377",90852,71832387.4944802,"Queens",NA,NA,NA,NA,NA,NA,NA,244,287.75,311.416666666667,373.916666666667,381.333333333333,375.75,362.583333333333,362.583333333333,349.25,343.615384615385,355.833333333333,389.75,418.916666666667,476.333333333333,523.2,12.65
"206","11355",82809,49383079.083945,"Queens",NA,NA,NA,NA,NA,NA,NA,285.5,298.583333333333,288,320.833333333333,318.416666666667,330,355.5,403.166666666667,383.5,392.615384615385,405.5,442.583333333333,462.333333333333,519.75,570.2,16.77
"158","11101",26254,78962088.741757,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32
"215","11364",33937,84259665.0529601,"Queens",NA,NA,NA,NA,NA,NA,NA,294.5,344.916666666667,404.833333333333,472.25,459.916666666667,448.416666666667,425.416666666667,419,407.083333333333,398.615384615385,414.916666666667,454.416666666667,476.166666666667,526.583333333333,570,4.03
"20","10018",5503,10705796.4791701,"New York",NA,NA,NA,NA,NA,NA,NA,NA,809.2,883.083333333333,1051,1184,1209.25,1139.5,1100.66666666667,1155,1277,1390.75,1514.33333333333,1732.91666666667,1770.5,1673.2,5.14
"22","10020",0,697297.02240016,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"154","11005",3533,9075527.40374782,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89
"19","10017",15918,9794383.23999352,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.25
"2","10001",22413,17794940.7727089,"New York",NA,NA,NA,NA,NA,NA,NA,NA,789.9,942.25,1110.75,1149.5,1223.91666666667,1117.75,1063.58333333333,1105.5,1179.30769230769,1348,1537,1617.16666666667,1704,1693.4,12.6
